Period,Accomodation type,Travel,Tourists
1-Dec-12,Group accomodations,International,3000
1-Jan-13,Group accomodations,Domestic,49000
1-Jan-13,Group accomodations,International,2000
1-Feb-13,Group accomodations,Domestic,45000
1-Feb-13,Group accomodations,International,1000
1-Mar-13,Group accomodations,Domestic,71000
1-Mar-13,Group accomodations,International,4000
1-Apr-13,Group accomodations,Domestic,130000
1-Apr-13,Group accomodations,International,5000
1-May-13,Group accomodations,Domestic,181000
1-May-13,Group accomodations,International,9000
1-Jun-13,Group accomodations,Domestic,197000
1-Jun-13,Group accomodations,International,6000
1-Jul-13,Group accomodations,Domestic,90000
1-Jul-13,Group accomodations,International,17000
1-Aug-13,Group accomodations,Domestic,115000
1-Aug-13,Group accomodations,International,15000
1-Sep-13,Group accomodations,Domestic,180000
1-Sep-13,Group accomodations,International,4000
1-Oct-13,Group accomodations,Domestic,115000
1-Oct-13,Group accomodations,International,6000
1-Nov-13,Group accomodations,Domestic,66000
1-Nov-13,Group accomodations,International,2000
1-Dec-13,Group accomodations,Domestic,48000
1-Dec-13,Group accomodations,International,1000
1-Jan-14,Group accomodations,Domestic,54000
1-Jan-14,Group accomodations,International,1000
1-Feb-14,Group accomodations,Domestic,47000
1-Feb-14,Group accomodations,International,1000
1-Mar-14,Group accomodations,Domestic,67000
1-Mar-14,Group accomodations,International,2000
1-Apr-14,Group accomodations,Domestic,110000
1-Apr-14,Group accomodations,International,6000
1-May-14,Group accomodations,Domestic,182000
1-May-14,Group accomodations,International,5000
1-Jun-14,Group accomodations,Domestic,209000
1-Jun-14,Group accomodations,International,8000
1-Jul-14,Group accomodations,Domestic,109000
1-Jul-14,Group accomodations,International,17000
1-Aug-14,Group accomodations,Domestic,118000
1-Aug-14,Group accomodations,International,18000
1-Sep-14,Group accomodations,Domestic,186000
1-Sep-14,Group accomodations,International,6000
1-Oct-14,Group accomodations,Domestic,119000
1-Oct-14,Group accomodations,International,5000
1-Nov-14,Group accomodations,Domestic,73000
1-Nov-14,Group accomodations,International,1000
1-Dec-14,Group accomodations,Domestic,45000
1-Dec-14,Group accomodations,International,1000
1-Jan-15,Group accomodations,Domestic,45000
1-Jan-15,Group accomodations,International,1000
1-Feb-15,Group accomodations,Domestic,44000
1-Feb-15,Group accomodations,International,1000
1-Mar-15,Group accomodations,Domestic,64000
1-Mar-15,Group accomodations,International,3000
1-Apr-15,Group accomodations,Domestic,112000
1-Apr-15,Group accomodations,International,5000
1-May-15,Group accomodations,Domestic,186000
1-May-15,Group accomodations,International,8000
1-Jun-15,Group accomodations,Domestic,210000
1-Jun-15,Group accomodations,International,6000
1-Jul-15,Group accomodations,Domestic,113000
1-Jul-15,Group accomodations,International,18000
1-Aug-15,Group accomodations,Domestic,130000
1-Aug-15,Group accomodations,International,17000
1-Sep-15,Group accomodations,Domestic,197000
1-Sep-15,Group accomodations,International,7000
1-Oct-15,Group accomodations,Domestic,129000
1-Oct-15,Group accomodations,International,7000
1-Nov-15,Group accomodations,Domestic,61000
1-Nov-15,Group accomodations,International,1000
1-Dec-15,Group accomodations,Domestic,46000
1-Dec-15,Group accomodations,International,2000
1-Jan-16,Group accomodations,Domestic,46000
1-Jan-16,Group accomodations,International,2000
1-Feb-16,Group accomodations,Domestic,37000
1-Feb-16,Group accomodations,International,2000
1-Mar-16,Group accomodations,Domestic,59000
1-Mar-16,Group accomodations,International,3000
1-Apr-16,Group accomodations,Domestic,106000
1-Apr-16,Group accomodations,International,4000
1-May-16,Group accomodations,Domestic,172000
1-May-16,Group accomodations,International,8000
1-Jun-16,Group accomodations,Domestic,183000
1-Jun-16,Group accomodations,International,7000
1-Jul-16,Group accomodations,Domestic,104000
1-Jul-16,Group accomodations,International,15000
1-Aug-16,Group accomodations,Domestic,107000
1-Aug-16,Group accomodations,International,14000
1-Sep-16,Group accomodations,Domestic,204000
1-Sep-16,Group accomodations,International,5000
1-Oct-16,Group accomodations,Domestic,138000
1-Oct-16,Group accomodations,International,7000
1-Nov-16,Group accomodations,Domestic,70000
1-Nov-16,Group accomodations,International,2000
1-Dec-16,Group accomodations,Domestic,40000
1-Dec-16,Group accomodations,International,3000
1-Jan-17,Group accomodations,Domestic,54000
1-Jan-17,Group accomodations,International,3000
1-Feb-17,Group accomodations,Domestic,49000
1-Feb-17,Group accomodations,International,3000
1-Mar-17,Group accomodations,Domestic,72000
1-Mar-17,Group accomodations,International,3000
1-Apr-17,Group accomodations,Domestic,123000
1-Apr-17,Group accomodations,International,7000
1-May-17,Group accomodations,Domestic,177000
1-May-17,Group accomodations,International,7000
1-Jun-17,Group accomodations,Domestic,209000
1-Jun-17,Group accomodations,International,8000
1-Jul-17,Group accomodations,Domestic,124000
1-Jul-17,Group accomodations,International,19000
1-Aug-17,Group accomodations,Domestic,113000
1-Aug-17,Group accomodations,International,17000
1-Sep-17,Group accomodations,Domestic,212000
1-Sep-17,Group accomodations,International,6000
1-Oct-17,Group accomodations,Domestic,130000
1-Oct-17,Group accomodations,International,5000
1-Nov-17,Group accomodations,Domestic,80000
1-Nov-17,Group accomodations,International,3000
1-Dec-17,Group accomodations,Domestic,65000
1-Dec-17,Group accomodations,International,4000
1-Jan-18,Group accomodations,Domestic,57000
1-Jan-18,Group accomodations,International,6000
1-Feb-18,Group accomodations,Domestic,47000
1-Feb-18,Group accomodations,International,5000
1-Mar-18,Group accomodations,Domestic,87000
1-Mar-18,Group accomodations,International,6000
1-Apr-18,Group accomodations,Domestic,136000
1-Apr-18,Group accomodations,International,17000
1-May-18,Group accomodations,Domestic,180000
1-May-18,Group accomodations,International,11000
1-Jun-18,Group accomodations,Domestic,214000
1-Jun-18,Group accomodations,International,11000
1-Jul-18,Group accomodations,Domestic,110000
1-Jul-18,Group accomodations,International,20000
1-Aug-18,Group accomodations,Domestic,117000
1-Aug-18,Group accomodations,International,20000
1-Sep-18,Group accomodations,Domestic,215000
1-Sep-18,Group accomodations,International,10000
1-Oct-18,Group accomodations,Domestic,142000
1-Oct-18,Group accomodations,International,10000
1-Nov-18,Group accomodations,Domestic,85000
1-Nov-18,Group accomodations,International,6000
1-Dec-18,Group accomodations,Domestic,57000
1-Dec-18,Group accomodations,International,4000
1-Jan-19,Group accomodations,Domestic,57000
1-Jan-19,Group accomodations,International,2000
1-Feb-19,Group accomodations,Domestic,55000
1-Feb-19,Group accomodations,International,3000
1-Mar-19,Group accomodations,Domestic,84000
1-Mar-19,Group accomodations,International,5000
1-Apr-19,Group accomodations,Domestic,114000
1-Apr-19,Group accomodations,International,13000
1-May-19,Group accomodations,Domestic,185000
1-May-19,Group accomodations,International,7000
1-Jun-19,Group accomodations,Domestic,226000
1-Jun-19,Group accomodations,International,13000
1-Jul-19,Group accomodations,Domestic,123000
1-Jul-19,Group accomodations,International,20000
1-Aug-19,Group accomodations,Domestic,129000
1-Aug-19,Group accomodations,International,21000
1-Sep-19,Group accomodations,Domestic,229000
1-Sep-19,Group accomodations,International,7000
1-Oct-19,Group accomodations,Domestic,150000
1-Oct-19,Group accomodations,International,10000
1-Nov-19,Group accomodations,Domestic,87000
1-Nov-19,Group accomodations,International,4000
1-Dec-19,Group accomodations,Domestic,59000
1-Dec-19,Group accomodations,International,4000
1-Jan-20,Group accomodations,Domestic,53000
1-Jan-20,Group accomodations,International,6000
1-Feb-20,Group accomodations,Domestic,56000
1-Feb-20,Group accomodations,International,4000
1-Mar-20,Group accomodations,Domestic,40000
1-Mar-20,Group accomodations,International,3000
1-Apr-20,Group accomodations,Domestic,10000
1-Apr-20,Group accomodations,International,0
1-May-20,Group accomodations,Domestic,14000
1-May-20,Group accomodations,International,0
1-Jun-20,Group accomodations,Domestic,31000
1-Jun-20,Group accomodations,International,2000
1-Jul-20,Group accomodations,Domestic,84000
1-Jul-20,Group accomodations,International,11000
1-Aug-20,Group accomodations,Domestic,95000
1-Aug-20,Group accomodations,International,9000
1-Sep-20,Group accomodations,Domestic,89000
1-Sep-20,Group accomodations,International,3000
1-Oct-20,Group accomodations,Domestic,40000
1-Oct-20,Group accomodations,International,1000
1-Nov-20,Group accomodations,Domestic,23000
1-Nov-20,Group accomodations,International,2000
1-Dec-20,Group accomodations,Domestic,28000
1-Dec-20,Group accomodations,International,1000
1-Jan-21,Group accomodations,Domestic,4000
1-Jan-21,Group accomodations,International,2000
1-Feb-21,Group accomodations,Domestic,5000
1-Feb-21,Group accomodations,International,2000
1-Mar-21,Group accomodations,Domestic,9000
1-Mar-21,Group accomodations,International,2000
1-Apr-21,Group accomodations,Domestic,26000
1-Apr-21,Group accomodations,International,2000
1-May-21,Group accomodations,Domestic,47000
1-May-21,Group accomodations,International,1000
1-Jun-21,Group accomodations,Domestic,106000
1-Jun-21,Group accomodations,International,2000
1-Jul-21,Group accomodations,Domestic,107000
1-Jul-21,Group accomodations,International,7000
